test_id,name,status,module,functionality,timestamp,duration_ms,message,error,detail.actual_rate,detail.agent_trace,detail.audit_action,detail.avg_rating,detail.base_rate,detail.buffer_size,detail.config_dir,detail.cost,detail.count,detail.decrypted,detail.error,detail.error_rate,detail.estimated,detail.has_pii,detail.high_is_anomaly,detail.injection_detected,detail.injection_score,detail.invalid_check,detail.items,detail.latency_mean,detail.llm_trace,detail.match,detail.model,detail.normal_is_anomaly,detail.original,detail.pii_count,detail.pii_types,detail.redacted,detail.rendered,detail.response,detail.retention_days,detail.safe_is_injection,detail.safe_passed,detail.separate_by_type,detail.session_total,detail.span_id,detail.span_type,detail.status,detail.template,detail.text,detail.throughput_tps,detail.tokens,detail.tool_trace,detail.total_turns,detail.trace,detail.trace_agent,detail.trace_llm,detail.trace_tool,detail.unsafe_passed,detail.unsafe_violations,detail.user_turns,detail.valid_check,detail.variant
f464b0dc_10,compliance,pass,privacy.compliance,privacy,2026-04-05T09:56:14.171477,18.223047256469727,,,,,read,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,
f464b0dc_11,injection_detection,pass,security.injection,security,2026-04-05T09:56:14.177969,6.4220428466796875,,,,,,,,,,,,,,,,,,True,0.95,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,
f464b0dc_12,guardrails,pass,security.guardrails,security,2026-04-05T09:56:14.178364,0.33783912658691406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,False,['pii_in_output'],,,
f464b0dc_13,domain_enforcer,pass,security.domain_enforcer,security,2026-04-05T09:56:14.183371,4.94384765625,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
f464b0dc_14,feedback,pass,intelligence.feedback,intelligence,2026-04-05T09:56:14.183666,0.21767616271972656,,,,,,3.5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f464b0dc_15,conversation,pass,intelligence.conversation,intelligence,2026-04-05T09:56:14.194427,10.708093643188477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,
f464b0dc_16,prompt_registry,pass,prompt_management.registry,prompt_management,2026-04-05T09:56:14.226933,32.42349624633789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hello World!,,,,,,,,,,Hello {{name}}!,,,,,,,,,,,,,,
f464b0dc_17,ab_testing,pass,prompt_management.ab_testing,prompt_management,2026-04-05T09:56:14.247830,20.82371711730957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
f464b0dc_18,playground,pass,prompt_management.playground,prompt_management,2026-04-05T09:56:14.251961,4.069805145263672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hello {Test}!,,,,,,,,,,,,,,,,,,,,,,,,
f464b0dc_19,csv_exporter,pass,exporters.csv,exporters,2026-04-05T09:56:14.253662,1.6138553619384766,,,,,,,,,outputs\test_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
f464b0dc_20,batch_exporter,pass,exporters.batch,exporters,2026-04-05T09:56:14.257858,4.118919372558594,,,,,,,,5,,,,,,,,,,,,,"[{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f464b0dc_21,azure_openai,pass,api.azure_openai,api_integration,2026-04-05T09:56:20.444144,6186.189651489258,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4.1,,,,,,,4,,,,,,,,,,,,21,,,,,,,,,,,
f464b0dc_22,gemini,pass,api.gemini,api_integration,2026-04-05T09:56:23.630169,3185.950756072998,,,,,,,,,,,,,"429 You exceeded your current quota, please check your plan and billing details. For more informatio",,,,,,,,,,,,,,,,,,,,,,,,,,,error,,,,,,,,,,,,,,,
