test_id,name,status,module,functionality,timestamp,duration_ms,message,error,detail.actual_rate,detail.agent_trace,detail.audit_action,detail.avg_rating,detail.base_rate,detail.buffer_size,detail.config_dir,detail.cost,detail.count,detail.decrypted,detail.error,detail.error_rate,detail.estimated,detail.has_pii,detail.high_is_anomaly,detail.injection_detected,detail.injection_score,detail.invalid_check,detail.items,detail.latency_mean,detail.llm_trace,detail.match,detail.model,detail.normal_is_anomaly,detail.original,detail.pii_count,detail.pii_types,detail.redacted,detail.rendered,detail.response,detail.retention_days,detail.safe_is_injection,detail.safe_passed,detail.separate_by_type,detail.session_total,detail.span_id,detail.span_type,detail.status,detail.template,detail.text,detail.throughput_tps,detail.tokens,detail.tool_trace,detail.total_turns,detail.trace,detail.trace_agent,detail.trace_llm,detail.trace_tool,detail.unsafe_passed,detail.unsafe_violations,detail.user_turns,detail.valid_check,detail.variant
f464b0dc_0,tracer_span,pass,core.tracer,core,2026-04-05T09:56:13.844207,0.09965896606445312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d124f312c022af4,llm,,,,,,,,,,,,,,,,
f464b0dc_1,decorators,pass,core.decorators,core,2026-04-05T09:56:13.845427,1.1608600616455078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Done: Task,Response: Hello,50,,,,,
f464b0dc_2,context_managers,pass,core.context_manager,core,2026-04-05T09:56:13.845864,0.3943443298339844,,,,ad5052b6ad0b459b930037977c1eb72f,,,,,,,,,,,,,,,,,,,2fb3568c81294a9f8f28b1de100414c9,,,,,,,,,,,,,,,,,,,,,,efd19b90e59a468cb56fa2bae370edce,,,,,,,,,,
f464b0dc_3,sampling,pass,core.sampling,core,2026-04-05T09:56:13.847331,1.4226436614990234,,,0.45,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f464b0dc_4,token_counting,pass,telemetry.tokens,telemetry,2026-04-05T09:56:14.080920,233.5350513458252,,,,,,,,,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hello, how are you doing today?",,,,,,,,,,,,,
f464b0dc_5,cost_estimation,pass,telemetry.cost,telemetry,2026-04-05T09:56:14.082981,2.0227432250976562,,,,,,,,,,"{'input_cost_usd': 0.03, 'output_cost_usd': 0.03, 'cache_cost_usd': 0.0, 'total_cost_usd': 0.06}",,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,
f464b0dc_6,metrics,pass,telemetry.metrics,telemetry,2026-04-05T09:56:14.089484,6.466865539550781,,,,,,,,,,,,,,0.2,,,,,,,,137.5,,,,,,,,,,,,,,,,,,,,,450000.0,,,,,,,,,,,,
f464b0dc_7,anomaly_detection,pass,telemetry.anomaly,telemetry,2026-04-05T09:56:14.124799,35.276174545288086,,,,,,,,,,,,,,,,,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f464b0dc_8,pii_detection,pass,privacy.pii,privacy,2026-04-05T09:56:14.131038,6.177425384521484,,,,,,,,,,,,,,,,True,,,,,,,,,,,,3,"['email', 'phone_us', 'ssn']",Contact [email redacted] or call [phone redacted]. SSN: ***-**-****,,,,,,,,,,,,,,,,,,,,,,,,,
f464b0dc_9,encryption,pass,privacy.encryption,privacy,2026-04-05T09:56:14.153193,22.105932235717773,,,,,,,,,,,,Sensitive data,,,,,,,,,,,,True,,,Sensitive data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
