test_id,name,status,module,functionality,timestamp,duration_ms,message,error,detail.error,detail.model,detail.response,detail.status,detail.tokens
f464b0dc_21,azure_openai,pass,api.azure_openai,api_integration,2026-04-05T09:56:20.444144,6186.189651489258,,,,gpt-4.1,4,,21
f464b0dc_22,gemini,pass,api.gemini,api_integration,2026-04-05T09:56:23.630169,3185.950756072998,,,"429 You exceeded your current quota, please check your plan and billing details. For more informatio",,,error,
