test_id,name,status,module,functionality,timestamp,duration_ms,message,error,detail.cost,detail.count,detail.error_rate,detail.estimated,detail.high_is_anomaly,detail.latency_mean,detail.normal_is_anomaly,detail.session_total,detail.text,detail.throughput_tps
f464b0dc_4,token_counting,pass,telemetry.tokens,telemetry,2026-04-05T09:56:14.080920,233.5350513458252,,,,8,,8,,,,,"Hello, how are you doing today?",
f464b0dc_5,cost_estimation,pass,telemetry.cost,telemetry,2026-04-05T09:56:14.082981,2.0227432250976562,,,"{'input_cost_usd': 0.03, 'output_cost_usd': 0.03, 'cache_cost_usd': 0.0, 'total_cost_usd': 0.06}",,,,,,,0.08,,
f464b0dc_6,metrics,pass,telemetry.metrics,telemetry,2026-04-05T09:56:14.089484,6.466865539550781,,,,,0.2,,,137.5,,,,450000.0
f464b0dc_7,anomaly_detection,pass,telemetry.anomaly,telemetry,2026-04-05T09:56:14.124799,35.276174545288086,,,,,,,True,,False,,,
