test_id,name,status,module,functionality,timestamp,duration_ms,message,error,detail.rendered,detail.template,detail.variant
f464b0dc_16,prompt_registry,pass,prompt_management.registry,prompt_management,2026-04-05T09:56:14.226933,32.42349624633789,,,Hello World!,Hello {{name}}!,
f464b0dc_17,ab_testing,pass,prompt_management.ab_testing,prompt_management,2026-04-05T09:56:14.247830,20.82371711730957,,,,,B
f464b0dc_18,playground,pass,prompt_management.playground,prompt_management,2026-04-05T09:56:14.251961,4.069805145263672,,,Hello {Test}!,,
